
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_avx2 ,__wcpcpy_generic 
0     ,0      ,0    ,1273       ,3.946         ,9.332            ,0.423 
0     ,0      ,0    ,2147483647 ,3.95          ,9.29             ,0.425 
0     ,0      ,1    ,1273       ,3.882         ,9.248            ,0.42  
0     ,0      ,1    ,2147483647 ,3.941         ,9.283            ,0.425 
0     ,1      ,1    ,1273       ,3.897         ,9.187            ,0.424 
1     ,0      ,1    ,2147483647 ,3.476         ,9.253            ,0.376 
0     ,0      ,2    ,1273       ,5.197         ,9.174            ,0.566 
0     ,0      ,2    ,2147483647 ,5.265         ,9.232            ,0.57  
0     ,2      ,2    ,1273       ,4.488         ,9.276            ,0.484 
2     ,0      ,2    ,2147483647 ,3.688         ,9.23             ,0.4   
0     ,0      ,3    ,1273       ,4.874         ,9.234            ,0.528 
0     ,0      ,3    ,2147483647 ,4.86          ,9.238            ,0.526 
0     ,3      ,3    ,1273       ,4.545         ,9.266            ,0.491 
3     ,0      ,3    ,2147483647 ,3.514         ,9.329            ,0.377 
0     ,0      ,4    ,1273       ,5.183         ,9.118            ,0.568 
0     ,0      ,4    ,2147483647 ,5.234         ,9.211            ,0.568 
0     ,4      ,4    ,1273       ,4.667         ,9.107            ,0.512 
4     ,0      ,4    ,2147483647 ,3.451         ,9.191            ,0.376 
0     ,0      ,5    ,1273       ,5.217         ,9.189            ,0.568 
0     ,0      ,5    ,2147483647 ,5.212         ,9.218            ,0.565 
0     ,5      ,5    ,1273       ,4.688         ,9.167            ,0.511 
5     ,0      ,5    ,2147483647 ,3.443         ,9.169            ,0.375 
0     ,0      ,6    ,1273       ,5.203         ,9.168            ,0.568 
0     ,0      ,6    ,2147483647 ,5.204         ,9.168            ,0.568 
0     ,6      ,6    ,1273       ,4.236         ,9.17             ,0.462 
6     ,0      ,6    ,2147483647 ,3.45          ,9.167            ,0.376 
0     ,0      ,7    ,1273       ,4.689         ,8.639            ,0.543 
0     ,0      ,7    ,2147483647 ,4.718         ,8.546            ,0.552 
0     ,7      ,7    ,1273       ,4.238         ,8.581            ,0.494 
7     ,0      ,7    ,2147483647 ,3.444         ,8.556            ,0.403 
0     ,0      ,8    ,1273       ,5.369         ,9.093            ,0.59  
0     ,0      ,8    ,2147483647 ,5.406         ,9.175            ,0.589 
0     ,0      ,9    ,1273       ,5.453         ,9.17             ,0.595 
0     ,0      ,9    ,2147483647 ,5.409         ,9.169            ,0.59  
0     ,1      ,9    ,1273       ,6.726         ,9.172            ,0.733 
1     ,0      ,9    ,2147483647 ,5.436         ,9.147            ,0.594 
0     ,0      ,10   ,1273       ,5.377         ,9.127            ,0.589 
0     ,0      ,10   ,2147483647 ,5.381         ,9.126            ,0.59  
0     ,2      ,10   ,1273       ,6.639         ,9.128            ,0.727 
2     ,0      ,10   ,2147483647 ,5.369         ,9.106            ,0.59  
0     ,0      ,11   ,1273       ,5.367         ,9.133            ,0.588 
0     ,0      ,11   ,2147483647 ,5.358         ,9.085            ,0.59  
0     ,3      ,11   ,1273       ,6.652         ,9.087            ,0.732 
3     ,0      ,11   ,2147483647 ,5.356         ,9.085            ,0.589 
0     ,0      ,12   ,1273       ,5.354         ,9.085            ,0.589 
0     ,0      ,12   ,2147483647 ,5.355         ,9.085            ,0.589 
0     ,4      ,12   ,1273       ,6.41          ,9.088            ,0.705 
4     ,0      ,12   ,2147483647 ,7.425         ,9.088            ,0.817 
0     ,0      ,13   ,1273       ,5.373         ,9.111            ,0.59  
0     ,0      ,13   ,2147483647 ,5.374         ,9.128            ,0.589 
0     ,5      ,13   ,1273       ,6.442         ,9.129            ,0.706 
5     ,0      ,13   ,2147483647 ,6.549         ,9.137            ,0.717 
0     ,0      ,14   ,1273       ,5.374         ,9.14             ,0.588 
0     ,0      ,14   ,2147483647 ,5.374         ,9.128            ,0.589 
0     ,6      ,14   ,1273       ,6.424         ,9.129            ,0.704 
6     ,0      ,14   ,2147483647 ,6.546         ,9.128            ,0.717 
0     ,0      ,15   ,1273       ,4.601         ,9.127            ,0.504 
0     ,0      ,15   ,2147483647 ,4.619         ,9.148            ,0.505 
0     ,7      ,15   ,1273       ,6.445         ,9.148            ,0.705 
7     ,0      ,15   ,2147483647 ,6.559         ,9.147            ,0.717 
0     ,0      ,16   ,1273       ,7.371         ,10.821           ,0.681 
7     ,2      ,16   ,1273       ,6.371         ,12.414           ,0.513 
0     ,0      ,32   ,1273       ,8.467         ,14.017           ,0.604 
6     ,4      ,32   ,1273       ,8.165         ,17.725           ,0.461 
0     ,0      ,64   ,1273       ,12.429        ,17.586           ,0.707 
5     ,6      ,64   ,1273       ,16.13         ,20.827           ,0.774 
0     ,0      ,128  ,1273       ,17.453        ,24.333           ,0.717 
4     ,0      ,128  ,1273       ,20.307        ,27.883           ,0.728 
0     ,0      ,256  ,1273       ,24.781        ,43.376           ,0.571 
3     ,2      ,256  ,1273       ,35.432        ,41.343           ,0.857 
0     ,0      ,512  ,1273       ,38.155        ,66.778           ,0.571 
2     ,4      ,512  ,1273       ,56.564        ,79.574           ,0.711 
0     ,0      ,1024 ,1273       ,92.315        ,119.787          ,0.771 
1     ,6      ,1024 ,1273       ,177.201       ,170.992          ,1.036 
1     ,2      ,16   ,1273       ,8.222         ,12.826           ,0.641 
2     ,1      ,16   ,2147483647 ,7.676         ,12.808           ,0.599 
1     ,1      ,16   ,1273       ,7.675         ,12.529           ,0.613 
1     ,1      ,16   ,2147483647 ,7.614         ,12.488           ,0.61  
2     ,4      ,32   ,1273       ,9.492         ,17.822           ,0.533 
4     ,2      ,32   ,2147483647 ,9.31          ,17.587           ,0.529 
2     ,2      ,32   ,1273       ,8.98          ,16.944           ,0.53  
2     ,2      ,32   ,2147483647 ,9.004         ,16.98            ,0.53  
3     ,6      ,64   ,1273       ,16.017        ,20.768           ,0.771 
6     ,3      ,64   ,2147483647 ,13.8          ,19.695           ,0.701 
3     ,3      ,64   ,1273       ,12.509        ,19.659           ,0.636 
3     ,3      ,64   ,2147483647 ,12.533        ,19.651           ,0.638 
0     ,4      ,128  ,2147483647 ,24.952        ,27.026           ,0.923 
4     ,4      ,128  ,1273       ,18.151        ,26.248           ,0.692 
4     ,4      ,128  ,2147483647 ,18.109        ,26.008           ,0.696 
5     ,2      ,256  ,1273       ,35.668        ,41.191           ,0.866 
2     ,5      ,256  ,2147483647 ,35.268        ,51.087           ,0.69  
5     ,5      ,256  ,1273       ,24.678        ,45.044           ,0.548 
5     ,5      ,256  ,2147483647 ,25.102        ,45.055           ,0.557 
6     ,4      ,512  ,1273       ,56.586        ,70.891           ,0.798 
4     ,6      ,512  ,2147483647 ,56.819        ,79.654           ,0.713 
6     ,6      ,512  ,1273       ,37.509        ,69.473           ,0.54  
6     ,6      ,512  ,2147483647 ,39.394        ,68.572           ,0.574 
7     ,6      ,1024 ,1273       ,125.081       ,138.701          ,0.902 
6     ,7      ,1024 ,2147483647 ,169.526       ,167.829          ,1.01  
7     ,7      ,1024 ,1273       ,90.384        ,114.586          ,0.789 
7     ,7      ,1024 ,2147483647 ,89.226        ,111.083          ,0.803 
0     ,4      ,16   ,1273       ,8.9           ,12.123           ,0.734 
4     ,0      ,16   ,2147483647 ,6.468         ,11.762           ,0.55  
4     ,4      ,16   ,1273       ,7.62          ,12.44            ,0.613 
2     ,2      ,16   ,2147483647 ,7.589         ,12.433           ,0.61  
2     ,6      ,16   ,1273       ,9.005         ,12.765           ,0.705 
6     ,2      ,16   ,2147483647 ,7.035         ,12.763           ,0.551 
1     ,7      ,16   ,1273       ,7.991         ,12.288           ,0.65  
7     ,1      ,16   ,2147483647 ,6.3           ,12.259           ,0.514 
3     ,4      ,16   ,1273       ,8.086         ,12.725           ,0.635 
4     ,3      ,16   ,2147483647 ,7.621         ,12.716           ,0.599 
5     ,7      ,16   ,1273       ,8.442         ,12.299           ,0.686 
7     ,5      ,16   ,1273       ,6.301         ,12.327           ,0.511 
0     ,4      ,20   ,1273       ,7.533         ,12.222           ,0.616 
4     ,0      ,20   ,2147483647 ,7.241         ,15.295           ,0.473 
4     ,4      ,20   ,1273       ,7.299         ,15.816           ,0.461 
2     ,2      ,20   ,2147483647 ,7.642         ,12.516           ,0.611 
2     ,6      ,20   ,1273       ,7.531         ,12.673           ,0.594 
6     ,2      ,20   ,2147483647 ,7.666         ,16.267           ,0.471 
1     ,7      ,20   ,1273       ,8.03          ,12.674           ,0.634 
7     ,1      ,20   ,2147483647 ,7.392         ,16.756           ,0.441 
3     ,4      ,20   ,1273       ,7.696         ,12.254           ,0.628 
4     ,3      ,20   ,2147483647 ,7.299         ,16.342           ,0.447 
5     ,7      ,20   ,1273       ,8.622         ,15.888           ,0.543 
7     ,5      ,20   ,1273       ,7.831         ,17.605           ,0.445 
0     ,4      ,24   ,1273       ,8.969         ,13.238           ,0.678 
4     ,0      ,24   ,2147483647 ,6.568         ,16.062           ,0.409 
4     ,4      ,24   ,1273       ,7.332         ,13.655           ,0.537 
2     ,2      ,24   ,2147483647 ,7.333         ,13.652           ,0.537 
2     ,6      ,24   ,1273       ,8.772         ,13.669           ,0.642 
6     ,2      ,24   ,2147483647 ,7.2           ,17.626           ,0.408 
1     ,7      ,24   ,1273       ,8.573         ,13.259           ,0.647 
