
Results For: stpcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
0     ,0      ,0    ,127      ,3.84   ,4.556  ,0.843   
0     ,0      ,1    ,127      ,5.225  ,5.095  ,1.026   
0     ,0      ,10   ,127      ,5.858  ,7.657  ,0.765   
0     ,0      ,1024 ,127      ,24.836 ,25.407 ,0.977   
0     ,0      ,11   ,127      ,5.864  ,7.669  ,0.765   
0     ,0      ,12   ,127      ,5.881  ,7.701  ,0.764   
0     ,0      ,128  ,127      ,8.962  ,8.388  ,1.068   
0     ,0      ,13   ,127      ,5.878  ,7.654  ,0.768   
0     ,0      ,14   ,127      ,5.886  ,7.643  ,0.77    
0     ,0      ,15   ,127      ,5.601  ,6.914  ,0.81    
0     ,0      ,16   ,127      ,6.001  ,7.873  ,0.762   
0     ,0      ,2    ,127      ,5.22   ,4.862  ,1.074   
0     ,0      ,256  ,127      ,13.086 ,14.19  ,0.922   
0     ,0      ,3    ,127      ,5.803  ,4.442  ,1.306   
0     ,0      ,32   ,127      ,6.107  ,6.031  ,1.012   
0     ,0      ,4    ,127      ,5.871  ,7.688  ,0.764   
0     ,0      ,5    ,127      ,5.833  ,7.571  ,0.77    
0     ,0      ,512  ,127      ,17.836 ,17.334 ,1.029   
0     ,0      ,6    ,127      ,5.859  ,7.572  ,0.774   
0     ,0      ,64   ,127      ,7.872  ,6.817  ,1.155   
0     ,0      ,7    ,127      ,5.562  ,6.676  ,0.833   
0     ,0      ,8    ,127      ,5.921  ,7.779  ,0.761   
0     ,0      ,9    ,127      ,5.84   ,7.887  ,0.74    
0     ,1      ,1    ,127      ,5.264  ,5.101  ,1.032   
0     ,1      ,9    ,127      ,5.889  ,7.661  ,0.769   
0     ,2      ,10   ,127      ,5.863  ,7.663  ,0.765   
0     ,2      ,2    ,127      ,5.256  ,4.887  ,1.075   
0     ,3      ,11   ,127      ,5.86   ,7.679  ,0.763   
0     ,3      ,3    ,127      ,5.827  ,4.439  ,1.313   
0     ,4      ,100  ,127      ,8.653  ,11.794 ,0.734   
0     ,4      ,104  ,127      ,8.63   ,11.912 ,0.725   
0     ,4      ,108  ,127      ,8.755  ,11.395 ,0.768   
0     ,4      ,112  ,127      ,8.732  ,11.646 ,0.75    
0     ,4      ,116  ,127      ,8.761  ,11.061 ,0.792   
0     ,4      ,12   ,127      ,5.863  ,7.49   ,0.783   
0     ,4      ,120  ,127      ,8.733  ,11.047 ,0.791   
0     ,4      ,124  ,127      ,8.732  ,11.098 ,0.787   
0     ,4      ,128  ,127      ,10.508 ,10.092 ,1.041   
0     ,4      ,132  ,127      ,9.978  ,12.892 ,0.774   
0     ,4      ,136  ,127      ,10.047 ,12.817 ,0.784   
0     ,4      ,140  ,127      ,10.04  ,12.212 ,0.822   
0     ,4      ,144  ,127      ,9.983  ,12.417 ,0.804   
0     ,4      ,148  ,127      ,9.974  ,11.343 ,0.879   
0     ,4      ,152  ,127      ,9.995  ,11.354 ,0.88    
0     ,4      ,156  ,127      ,9.866  ,11.401 ,0.865   
0     ,4      ,16   ,127      ,6.098  ,7.984  ,0.764   
0     ,4      ,160  ,127      ,14.519 ,10.865 ,1.336   
0     ,4      ,164  ,127      ,14.232 ,13.855 ,1.027   
0     ,4      ,168  ,127      ,14.211 ,13.666 ,1.04    
0     ,4      ,172  ,127      ,14.269 ,13.246 ,1.077   
0     ,4      ,176  ,127      ,14.408 ,13.37  ,1.078   
0     ,4      ,180  ,127      ,14.202 ,12.596 ,1.127   
0     ,4      ,184  ,127      ,14.195 ,12.517 ,1.134   
0     ,4      ,188  ,127      ,14.354 ,12.923 ,1.111   
0     ,4      ,192  ,127      ,15.521 ,11.845 ,1.31    
0     ,4      ,196  ,127      ,13.349 ,14.725 ,0.907   
0     ,4      ,20   ,127      ,6.086  ,7.944  ,0.766   
0     ,4      ,200  ,127      ,13.444 ,14.387 ,0.934   
0     ,4      ,204  ,127      ,13.384 ,14.049 ,0.953   
0     ,4      ,208  ,127      ,13.351 ,13.756 ,0.971   
0     ,4      ,212  ,127      ,13.426 ,12.36  ,1.086   
0     ,4      ,216  ,127      ,13.379 ,12.366 ,1.082   
0     ,4      ,220  ,127      ,13.04  ,12.579 ,1.037   
0     ,4      ,224  ,127      ,13.565 ,12.115 ,1.12    
0     ,4      ,228  ,127      ,13.401 ,13.795 ,0.971   
0     ,4      ,232  ,127      ,13.294 ,13.82  ,0.962   
0     ,4      ,236  ,127      ,13.488 ,13.547 ,0.996   
0     ,4      ,24   ,127      ,6.039  ,7.868  ,0.768   
0     ,4      ,240  ,127      ,13.396 ,13.572 ,0.987   
0     ,4      ,244  ,127      ,13.406 ,12.93  ,1.037   
0     ,4      ,248  ,127      ,13.469 ,12.921 ,1.042   
0     ,4      ,252  ,127      ,13.031 ,12.841 ,1.015   
0     ,4      ,256  ,127      ,17.683 ,17.373 ,1.018   
0     ,4      ,260  ,127      ,16.628 ,19.063 ,0.872   
0     ,4      ,264  ,127      ,16.767 ,18.388 ,0.912   
0     ,4      ,268  ,127      ,16.873 ,17.827 ,0.946   
0     ,4      ,272  ,127      ,16.796 ,18.167 ,0.925   
0     ,4      ,276  ,127      ,16.665 ,17.788 ,0.937   
0     ,4      ,28   ,127      ,6.024  ,7.703  ,0.782   
0     ,4      ,280  ,127      ,16.753 ,17.818 ,0.94    
0     ,4      ,284  ,127      ,16.533 ,17.62  ,0.938   
0     ,4      ,288  ,127      ,17.139 ,18.109 ,0.946   
0     ,4      ,292  ,127      ,16.238 ,19.44  ,0.835   
0     ,4      ,296  ,127      ,16.435 ,19.218 ,0.855   
0     ,4      ,300  ,127      ,16.432 ,18.061 ,0.91    
0     ,4      ,304  ,127      ,16.306 ,19.099 ,0.854   
0     ,4      ,308  ,127      ,16.403 ,17.995 ,0.912   
0     ,4      ,312  ,127      ,16.329 ,17.989 ,0.908   
0     ,4      ,316  ,127      ,16.607 ,18.45  ,0.9     
0     ,4      ,32   ,127      ,7.215  ,5.908  ,1.221   
0     ,4      ,320  ,127      ,18.881 ,18.496 ,1.021   
0     ,4      ,324  ,127      ,17.518 ,19.7   ,0.889   
0     ,4      ,328  ,127      ,17.557 ,19.739 ,0.889   
0     ,4      ,332  ,127      ,17.563 ,18.555 ,0.947   
0     ,4      ,336  ,127      ,17.485 ,19.738 ,0.886   
0     ,4      ,340  ,127      ,17.522 ,18.503 ,0.947   
0     ,4      ,344  ,127      ,17.599 ,18.36  ,0.959   
0     ,4      ,348  ,127      ,17.257 ,18.395 ,0.938   
0     ,4      ,352  ,127      ,18.114 ,18.812 ,0.963   
0     ,4      ,356  ,127      ,16.995 ,20.345 ,0.835   
0     ,4      ,36   ,127      ,7.202  ,8.163  ,0.882   
0     ,4      ,360  ,127      ,17.18  ,20.087 ,0.855   
0     ,4      ,364  ,127      ,16.967 ,19.045 ,0.891   
0     ,4      ,368  ,127      ,16.985 ,20.063 ,0.847   
0     ,4      ,372  ,127      ,17.008 ,18.896 ,0.9     
0     ,4      ,376  ,127      ,17.003 ,18.997 ,0.895   
0     ,4      ,380  ,127      ,16.768 ,19.376 ,0.865   
0     ,4      ,384  ,127      ,21.513 ,18.436 ,1.167   
0     ,4      ,388  ,127      ,20.16  ,20.463 ,0.985   
0     ,4      ,392  ,127      ,20.074 ,20.037 ,1.002   
0     ,4      ,396  ,127      ,20.245 ,18.404 ,1.1     
0     ,4      ,4    ,127      ,5.545  ,5.988  ,0.926   
0     ,4      ,40   ,127      ,7.226  ,8.847  ,0.817   
0     ,4      ,400  ,127      ,20.123 ,20.092 ,1.002   
0     ,4      ,404  ,127      ,20.112 ,18.499 ,1.087   
0     ,4      ,408  ,127      ,20.168 ,18.572 ,1.086   
0     ,4      ,412  ,127      ,19.657 ,18.73  ,1.05    
0     ,4      ,416  ,127      ,20.867 ,19.067 ,1.094   
0     ,4      ,420  ,127      ,20.011 ,20.939 ,0.956   
0     ,4      ,424  ,127      ,19.761 ,20.472 ,0.965   
0     ,4      ,428  ,127      ,19.966 ,19.332 ,1.033   
0     ,4      ,432  ,127      ,19.954 ,20.602 ,0.969   
0     ,4      ,436  ,127      ,19.853 ,19.213 ,1.033   
0     ,4      ,44   ,127      ,7.218  ,8.161  ,0.884   
0     ,4      ,440  ,127      ,19.929 ,19.399 ,1.027   
0     ,4      ,444  ,127      ,19.533 ,19.809 ,0.986   
0     ,4      ,448  ,127      ,22.871 ,19.724 ,1.16    
0     ,4      ,452  ,127      ,21.18  ,21.687 ,0.977   
0     ,4      ,456  ,127      ,21.194 ,21.152 ,1.002   
0     ,4      ,460  ,127      ,21.142 ,20.033 ,1.055   
0     ,4      ,464  ,127      ,21.128 ,21.333 ,0.99    
0     ,4      ,468  ,127      ,21.128 ,20.025 ,1.055   
0     ,4      ,472  ,127      ,21.156 ,20.041 ,1.056   
0     ,4      ,476  ,127      ,20.917 ,19.983 ,1.047   
0     ,4      ,48   ,127      ,7.223  ,8.924  ,0.809   
0     ,4      ,480  ,127      ,21.525 ,19.966 ,1.078   
0     ,4      ,484  ,127      ,20.836 ,22.032 ,0.946   
0     ,4      ,488  ,127      ,20.291 ,21.462 ,0.945   
0     ,4      ,492  ,127      ,20.344 ,20.551 ,0.99    
0     ,4      ,496  ,127      ,20.317 ,21.379 ,0.95    
0     ,4      ,500  ,127      ,20.384 ,20.57  ,0.991   
0     ,4      ,504  ,127      ,20.366 ,20.64  ,0.987   
0     ,4      ,508  ,127      ,21.304 ,20.759 ,1.026   
0     ,4      ,512  ,127      ,25.587 ,20.066 ,1.275   
0     ,4      ,52   ,127      ,7.253  ,8.243  ,0.88    
0     ,4      ,56   ,127      ,7.258  ,8.239  ,0.881   
0     ,4      ,60   ,127      ,7.366  ,8.296  ,0.888   
0     ,4      ,64   ,127      ,9.669  ,8.174  ,1.183   
0     ,4      ,68   ,127      ,8.809  ,10.874 ,0.81    
0     ,4      ,72   ,127      ,8.812  ,10.834 ,0.813   
0     ,4      ,76   ,127      ,8.77   ,10.275 ,0.854   
0     ,4      ,80   ,127      ,8.813  ,10.779 ,0.818   
0     ,4      ,84   ,127      ,8.794  ,10.209 ,0.861   
0     ,4      ,88   ,127      ,8.831  ,10.145 ,0.87    
0     ,4      ,92   ,127      ,8.194  ,10.14  ,0.808   
0     ,4      ,96   ,127      ,9.271  ,9.243  ,1.003   
0     ,5      ,13   ,127      ,5.866  ,7.481  ,0.784   
0     ,5      ,5    ,127      ,5.474  ,5.871  ,0.932   
0     ,6      ,14   ,127      ,5.863  ,7.52   ,0.78    
0     ,6      ,6    ,127      ,5.524  ,5.869  ,0.941   
0     ,7      ,15   ,127      ,5.851  ,7.502  ,0.78    
0     ,7      ,7    ,127      ,5.485  ,5.922  ,0.926   
1     ,0      ,1    ,127      ,5.301  ,5.075  ,1.045   
1     ,0      ,1024 ,127      ,35.676 ,31.713 ,1.125   
1     ,0      ,128  ,127      ,9.276  ,9.024  ,1.028   
1     ,0      ,16   ,127      ,6.06   ,7.99   ,0.758   
1     ,0      ,2    ,127      ,5.38   ,5.243  ,1.026   
1     ,0      ,256  ,127      ,15.227 ,15.472 ,0.984   
1     ,0      ,32   ,127      ,6.186  ,6.305  ,0.981   
1     ,0      ,4    ,127      ,6.094  ,7.928  ,0.769   
1     ,0      ,512  ,127      ,21.481 ,19.663 ,1.092   
1     ,0      ,64   ,127      ,8.19   ,7.685  ,1.066   
1     ,0      ,8    ,127      ,6.027  ,7.972  ,0.756   
1     ,0      ,9    ,127      ,5.841  ,7.673  ,0.761   
1     ,1      ,1    ,127      ,5.38   ,5.238  ,1.027   
1     ,1      ,16   ,127      ,6.032  ,7.865  ,0.767   
1     ,2      ,16   ,127      ,6.0    ,7.892  ,0.76    
1     ,6      ,1024 ,127      ,35.068 ,30.422 ,1.153   
1     ,7      ,100  ,127      ,8.637  ,11.598 ,0.745   
1     ,7      ,104  ,127      ,8.666  ,12.229 ,0.709   
1     ,7      ,108  ,127      ,8.692  ,11.556 ,0.752   
1     ,7      ,112  ,127      ,8.718  ,12.143 ,0.718   
1     ,7      ,116  ,127      ,8.759  ,11.531 ,0.76    
1     ,7      ,120  ,127      ,8.616  ,11.354 ,0.759   
1     ,7      ,124  ,127      ,8.749  ,11.585 ,0.755   
1     ,7      ,128  ,127      ,10.656 ,9.886  ,1.078   
1     ,7      ,132  ,127      ,9.929  ,13.192 ,0.753   
1     ,7      ,136  ,127      ,9.997  ,13.443 ,0.744   
1     ,7      ,140  ,127      ,10.02  ,12.61  ,0.795   
1     ,7      ,144  ,127      ,9.991  ,13.383 ,0.747   
1     ,7      ,148  ,127      ,10.026 ,12.257 ,0.818   
1     ,7      ,152  ,127      ,9.847  ,12.281 ,0.802   
1     ,7      ,156  ,127      ,9.916  ,12.238 ,0.81    
1     ,7      ,16   ,127      ,6.098  ,7.971  ,0.765   
1     ,7      ,160  ,127      ,14.47  ,10.725 ,1.349   
1     ,7      ,164  ,127      ,14.253 ,13.413 ,1.063   
1     ,7      ,168  ,127      ,14.219 ,13.904 ,1.023   
1     ,7      ,172  ,127      ,14.39  ,13.535 ,1.063   
